"discharge_year","ppc_version","hospital_name","pfi","ppc_group_number","ppc_group_name","observed_rate_per_10_000_at_risk_discharges","risk_adjusted_rate_per_10_000_at_risk_discharges","significance"
"2023","40.0","Elmhurst Hospital Center","1626","4","Perioperative Complications","11.577982536543008","23.94600122595562","Below"
"2023","40.0","Elmhurst Hospital Center","1626","5","Infectious Complications","98.79981433591936","137.74796609613654","Above"
"2023","40.0","Elmhurst Hospital Center","1626","6","Malfunctions, Reactions, etc.","20.290406442204045","31.05910844622104","Similar"
"2023","40.0","Elmhurst Hospital Center","1626","7","Obstetrical Complications","30.499428135722454","38.89757142549972","Below"
"2023","40.0","Elmhurst Hospital Center","1626","8","Other Medical and Surgical Complications","103.55725909488265","155.82798274570288","Similar"
"2023","40.0","Erie County Medical Center","210","1","Extreme Complications","61.06735109301708","109.58282709859638","Above"
"2023","40.0","Erie County Medical Center","210","2","Cardiovascular-Respiratory Complications","117.84511784511784","164.22017210951077","Above"
"2023","40.0","Erie County Medical Center","210","3","Gastrointestinal Complications","33.12701595327347","53.66277814832123","Above"
"2023","40.0","Erie County Medical Center","210","4","Perioperative Complications","24.214659685863875","35.69407967422064","Similar"
"2023","40.0","Erie County Medical Center","210","5","Infectious Complications","74.20524496163252","86.49525751109438","Similar"
"2023","40.0","Erie County Medical Center","210","6","Malfunctions, Reactions, etc.","51.18045236915965","70.98518619000765","Above"
"2023","40.0","Erie County Medical Center","210","8","Other Medical and Surgical Complications","159.07387357374864","204.91487130111673","Above"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","1","Extreme Complications","54.719562243502054","85.15532562938279","Similar"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","2","Cardiovascular-Respiratory Complications","84.96642455803755","121.26061843497324","Similar"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","3","Gastrointestinal Complications","29.384266061172703","38.151552295288454","Similar"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","4","Perioperative Complications","17.017017017017018","30.923906886291608","Similar"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","5","Infectious Complications","54.355211305883955","66.46634819088986","Below"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","6","Malfunctions, Reactions, etc.","38.08073115003808","48.65274224758488","Above"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","7","Obstetrical Complications","50.8130081300813","66.18767234526706","Similar"
"2023","40.0","Faxton-St Lukes Healthcare St Lukes Division","599","8","Other Medical and Surgical Complications","65.83193494255842","93.43449420722516","Below"
"2023","40.0","F.F. Thompson Hospital","678","1","Extreme Complications","53.887605850654346","63.56819965957566","Similar"
"2023","40.0","F.F. Thompson Hospital","678","2","Cardiovascular-Respiratory Complications","143.5897435897436","156.52338258367382","Similar"
"2023","40.0","F.F. Thompson Hospital","678","3","Gastrointestinal Complications","27.07359094265321","29.60037258834769","Similar"
"2023","40.0","F.F. Thompson Hospital","678","4","Perioperative Complications","22.57336343115124","33.68941950563713","Similar"
"2023","40.0","F.F. Thompson Hospital","678","5","Infectious Complications","107.25866799700674","109.73097813556471","Similar"
"2023","40.0","F.F. Thompson Hospital","678","6","Malfunctions, Reactions, etc.","23.679848448969928","24.428846670928227","Similar"
"2023","40.0","F.F. Thompson Hospital","678","7","Obstetrical Complications","13.774104683195592","19.29050522646861","Similar"
"2023","40.0","F.F. Thompson Hospital","678","8","Other Medical and Surgical Complications","150.1787842669845","160.87094005015882","Similar"
"2023","40.0","Flushing Hospital Medical Center","1628","1","Extreme Complications","21.36466817999733","53.02301062141495","Similar"
"2023","40.0","Flushing Hospital Medical Center","1628","2","Cardiovascular-Respiratory Complications","38.83755189500469","88.02407702119122","Below"
"2023","40.0","Flushing Hospital Medical Center","1628","3","Gastrointestinal Complications","10.302640051513201","17.000622710136458","Similar"
"2023","40.0","Flushing Hospital Medical Center","1628","4","Perioperative Complications","6.37653435357883","20.060087659308405","Below"
"2023","40.0","Flushing Hospital Medical Center","1628","5","Infectious Complications","30.084235860409148","59.443999838989384","Below"
"2023","40.0","Flushing Hospital Medical Center","1628","6","Malfunctions, Reactions, etc.","27.002700270027002","47.08460384707734","Similar"
"2023","40.0","Flushing Hospital Medical Center","1628","7","Obstetrical Complications","58.23627287853577","68.5808600125547","Below"
"2023","40.0","Flushing Hospital Medical Center","1628","8","Other Medical and Surgical Complications","32.71141264841289","64.76309594196765","Below"
"2023","40.0","Garnet Health Medical Center","699","1","Extreme Complications","63.68145864056844","67.12764656101133","Similar"
"2023","40.0","Garnet Health Medical Center","699","2","Cardiovascular-Respiratory Complications","95.88306289392517","103.99893097589397","Below"
"2023","40.0","Garnet Health Medical Center","699","3","Gastrointestinal Complications","22.42870874719641","22.396730772548743","Similar"
"2023","40.0","Garnet Health Medical Center","699","4","Perioperative Complications","13.04473862208909","18.18913268160484","Below"
"2023","40.0","Garnet Health Medical Center","699","5","Infectious Complications","79.31512023165051","74.0241965464877","Below"
"2023","40.0","Garnet Health Medical Center","699","6","Malfunctions, Reactions, etc.","20.314273764712915","20.02755768554249","Below"
"2023","40.0","Garnet Health Medical Center","699","7","Obstetrical Complications","20.28397565922921","22.171168611765218","Below"
"2023","40.0","Garnet Health Medical Center","699","8","Other Medical and Surgical Complications","132.26205191594562","129.53993122724864","Below"
"2023","40.0","Garnet Health Medical Center - Catskills","971","1","Extreme Complications","38.314176245210724","67.18410456376304","Similar"
"2023","40.0","Garnet Health Medical Center - Catskills","971","2","Cardiovascular-Respiratory Complications","72.62996941896024","118.95213055066823","Similar"
"2023","40.0","Garnet Health Medical Center - Catskills","971","3","Gastrointestinal Complications","14.732965009208103","19.63211150207372","Similar"
"2023","40.0","Garnet Health Medical Center - Catskills","971","4","Perioperative Complications","2.789400278940028","9.49565010958923","Similar"
