report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
2016493-2020-00574,,Malfunction,CAREFUSION,,,FRN,ALARIS® PUMP MODULE,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
9614453-2008-00768,,Malfunction,MEDTRONIC SWISS MANUFACTURING FACILITY,,,MHY,KINETRA,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
3012307300-2020-03390,,Malfunction,ST PAUL,,,FRN,CADD SOLIS VIP PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
9614453-2008-00768,,Malfunction,MEDTRONIC SWISS MANUFACTURING FACILITY,,,MHY,KINETRA,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
1314492-2020-01411,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03390,,Malfunction,ST PAUL,,,FRN,CADD SOLIS VIP PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2649622-2020-08370,,Injury,MPRI,,,NVY,SPRINT QUATTRO SECURE MRI SURESCAN,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high,0,0
3004209178-2020-07736,,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,LWS,EVERA MRI XT DR SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
3004209178-2020-07736,,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,LWS,EVERA MRI XT DR SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
3004209178-2020-07736,,Injury,MEDTRONIC PUERTO RICO OPERATIONS CO.,,,LWS,EVERA MRI XT DR SURESCAN,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
1314492-2020-01411,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
9612164-2020-01703,,Injury,MEDTRONIC IRELAND,,,DQY,RELIANT BALLOON,C1725,"Cath, translumin non-laser",atherectomy_catheter,high,0,0
10003,,,MEDI-TECH (BOSTON SCIENTIFIC CORP.),,,DQX,TERUMO RADIFOCUS GUIDE WIRE M,C1769,Guide wire,,medium,0,0
2649622-2020-08415,,Injury,MPRI,,,LWS,SPRINT FIDELIS,C1887,"Catheter, guiding",ep_catheter_guiding,medium,0,0
10003,,,MEDI-TECH (BOSTON SCIENTIFIC CORP.),,,DQX,TERUMO RADIFOCUS GUIDE WIRE M,C1755,"Catheter, intraspinal",catheter_guidewire,medium,0,0
2649622-2020-08415,,Injury,MPRI,,,LWS,SPRINT FIDELIS,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
2649622-2020-08415,,Injury,MPRI,,,LWS,SPRINT FIDELIS,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
1416980-2020-02403,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,FLOGARD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1416980-2020-02403,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,FLOGARD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
